vg,vd,ids
0,2.5,1.8392953e-7
0.0025,2.5,1.8977922e-07
0.0061833333,2.5,1.9875193e-07
0.011659222,2.5,2.1291667e-07
0.019800044,2.5,2.3596127e-07
0.031902732,2.5,2.7520686e-07
0.049895394,2.5,3.4694589e-07
0.076404584,2.5,4.9197208e-07
0.11546146,2.5,8.4016241e-07
0.16546146,2.5,1.7179268e-06
0.21546146,2.5,3.4899362e-06
0.26546146,2.5,6.6170566e-06
0.31546146,2.5,1.1273723e-05
0.36546146,2.5,1.7280849e-05
0.41546146,2.5,2.4340263e-05
0.46546146,2.5,3.2212801e-05
0.5,2.5,3.8039149e-05
