vg,vd,ids
0,2.5,8.3324823e-6
0.0025,2.5,8.4354672e-06
0.0061833333,2.5,8.5886686e-06
0.011659222,2.5,8.8197053e-06
0.019800044,2.5,9.1705883e-06
0.031902732,2.5,9.7092934e-06
0.049895394,2.5,1.0550338e-05
0.076404584,2.5,1.1887607e-05
0.11546146,2.5,1.4119861e-05
0.16546146,2.5,1.7596913e-05
0.21546146,2.5,2.2012649e-05
0.26546146,2.5,2.7528791e-05
0.31546146,2.5,3.4119924e-05
0.36546146,2.5,4.1620016e-05
0.41546146,2.5,4.9830129e-05
0.46546146,2.5,5.8572297e-05
0.5,2.5,6.4846081e-05
