vg,vd,ids
0,0.5,1.1730879e-9
0.0025,0.5,1.2575945e-09
0.0061833333,0.5,1.3936866e-09
0.011659222,0.5,1.6246733e-09
0.019800044,0.5,2.0434849e-09
0.031902732,0.5,2.8831485e-09
0.049734025,0.5,4.8322035e-09
0.075767714,0.5,1.0461227e-08
0.11342978,0.5,3.1789276e-08
0.16342978,0.5,1.3339275e-07
0.21342978,0.5,5.0554472e-07
0.26342978,0.5,1.6062838e-06
0.31342978,0.5,4.0237188e-06
0.36342978,0.5,7.98702e-06
0.41342978,0.5,1.3245798e-05
0.46342978,0.5,1.952052e-05
0.5,0.5,2.4610782e-05
