vg,vd,ids
0,2.5,3.1463446e-7
0.0025,2.5,3.2384208e-07
0.0061833333,2.5,3.379048e-07
0.011659222,2.5,3.5996362e-07
0.019800044,2.5,3.9550002e-07
0.031902732,2.5,4.5510755e-07
0.049895394,2.5,5.6151772e-07
0.076644486,2.5,7.7103617e-07
0.11605482,2.5,1.2480204e-06
0.16605482,2.5,2.3549494e-06
0.21605482,2.5,4.4301332e-06
0.26605482,2.5,7.8909843e-06
0.31605482,2.5,1.285823e-05
0.36605482,2.5,1.9134724e-05
0.41605482,2.5,2.6432117e-05
0.46605482,2.5,3.451014e-05
0.5,2.5,4.0360456e-05
