vg,vd,ids
0,4.5,1.162698e-6
0.0025,4.5,1.1913031e-06
0.0061833333,4.5,1.2347497e-06
0.011659222,4.5,1.3023375e-06
0.019800044,4.5,1.4099012e-06
0.031902732,4.5,1.5871438e-06
0.049895394,4.5,1.8953583e-06
0.076644486,4.5,2.4786662e-06
0.11605482,4.5,3.7239793e-06
0.16605482,4.5,6.3096465e-06
0.21605482,4.5,1.0470521e-05
0.26605482,4.5,1.6406244e-05
0.31605482,4.5,2.3851863e-05
0.36605482,4.5,3.2385203e-05
0.41605482,4.5,4.1806604e-05
0.46605482,4.5,5.2005673e-05
0.5,4.5,5.9296299e-05
