vg,vd,ids
0,3.5,3.4410301e-7
0.0025,3.5,3.5387844e-07
0.0061833333,3.5,3.6879437e-07
0.011659222,3.5,3.9215496e-07
0.019800044,3.5,4.2969562e-07
0.031902732,3.5,4.9245507e-07
0.049895394,3.5,6.0385863e-07
0.076644486,3.5,8.209244e-07
0.11605482,3.5,1.3068127e-06
0.16605482,3.5,2.4075251e-06
0.21605482,3.5,4.4377634e-06
0.26605482,3.5,7.8091753e-06
0.31605482,3.5,1.2649382e-05
0.36605482,3.5,1.8759539e-05
0.41605482,3.5,2.5843046e-05
0.46605482,3.5,3.3671023e-05
0.5,3.5,3.9331028e-05
