vg,vd,ids
0,3.5,4.405461e-7
0.0025,3.5,4.5258029e-07
0.0061833333,3.5,4.7090923e-07
0.011659222,3.5,4.9953603e-07
0.019800044,3.5,5.4534649e-07
0.031902732,3.5,6.2145326e-07
0.049895394,3.5,7.5520194e-07
0.076644486,3.5,1.0117991e-06
0.11605482,3.5,1.57229e-06
0.16605482,3.5,2.8008748e-06
0.21605482,3.5,4.9941354e-06
0.26605482,3.5,8.5440969e-06
0.31605482,3.5,1.3554817e-05
0.36605482,3.5,1.9820072e-05
0.41605482,3.5,2.7045887e-05
0.46605482,3.5,3.5006591e-05
0.5,3.5,4.0753536e-05
