vg,vd,ids
0,2.5,6.8736751e-8
0.0025,2.5,7.1256173e-08
0.0061833333,2.5,7.5151789e-08
0.011659222,2.5,8.1376204e-08
0.019800044,2.5,9.1689324e-08
0.031902732,2.5,1.0975574e-07
0.049895394,2.5,1.4425862e-07
0.076644486,2.5,2.1974799e-07
0.11605482,2.5,4.2190713e-07
0.16605482,2.5,1.0006565e-06
0.21605482,2.5,2.3290709e-06
0.26605482,2.5,4.9177722e-06
0.31605482,2.5,9.0284e-06
0.36605482,2.5,1.4532677e-05
0.41605482,2.5,2.1115625e-05
0.46605482,2.5,2.8540372e-05
0.5,2.5,3.3972553e-05
