vg,vd,ids
0,2.5,6.4653183e-8
0.0025,2.5,6.7044037e-08
0.0061833333,2.5,7.0742758e-08
0.011659222,2.5,7.6657129e-08
0.019800044,2.5,8.6467935e-08
0.031902732,2.5,1.0368664e-07
0.049895394,2.5,1.3665928e-07
0.076644486,2.5,2.0910886e-07
0.11605482,2.5,4.0436374e-07
0.16605482,2.5,9.6778193e-07
0.21605482,2.5,2.2708882e-06
0.26605482,2.5,4.8261593e-06
0.31605482,2.5,8.9007654e-06
0.36605482,2.5,1.437041e-05
0.41605482,2.5,2.0919652e-05
0.46605482,2.5,2.8311928e-05
0.5,2.5,3.3722014e-05
