vg,vd,ids
0,2.5,7.0878724e-8
0.0025,2.5,7.3465164e-08
0.0061833333,2.5,7.7463372e-08
0.011659222,2.5,8.3849257e-08
0.019800044,2.5,9.4423798e-08
0.031902732,2.5,1.1293071e-07
0.049895394,2.5,1.4822744e-07
0.076644486,2.5,2.2528817e-07
0.11605482,2.5,4.3099561e-07
0.16605482,2.5,1.017558e-06
0.21605482,2.5,2.3587536e-06
0.26605482,2.5,4.9641659e-06
0.31605482,2.5,9.092682e-06
0.36605482,2.5,1.4614076e-05
0.41605482,2.5,2.1213609e-05
0.46605482,2.5,2.8654131e-05
0.5,2.5,3.4097067e-05
