vg,vd,ids
0,2.5,5.3965936e-8
0.0025,2.5,5.6014859e-08
0.0061833333,2.5,5.9189414e-08
0.011659222,2.5,6.4277127e-08
0.019800044,2.5,7.2746598e-08
0.031902732,2.5,8.7691607e-08
0.049895394,2.5,1.1654095e-07
0.076644486,2.5,1.8072364e-07
0.11605482,2.5,3.5692693e-07
0.16605482,2.5,8.7713251e-07
0.21605482,2.5,2.1068754e-06
0.26605482,2.5,4.5630797e-06
0.31605482,2.5,8.5282997e-06
0.36605482,2.5,1.3891273e-05
0.41605482,2.5,2.0335462e-05
0.46605482,2.5,2.7623313e-05
0.5,2.5,3.2962078e-05
