vg,vd,ids
0,0.5,1.249624e-9
0.0025,0.5,1.3388689e-09
0.0061833333,0.5,1.482512e-09
0.011659222,0.5,1.7260487e-09
0.019800044,0.5,2.1669402e-09
0.031902732,0.5,3.0487165e-09
0.049734025,0.5,5.084837e-09
0.076005464,0.5,1.1022034e-08
0.11401148,0.5,3.3699623e-08
0.16401148,0.5,1.4056667e-07
0.21401148,0.5,5.2886259e-07
0.26401148,0.5,1.6645154e-06
0.31401148,0.5,4.1291707e-06
0.36401148,0.5,8.1366956e-06
0.41401148,0.5,1.3434751e-05
0.46401148,0.5,1.9748424e-05
0.5,0.5,2.4784526e-05
