vg,vd,ids
0,1.5,8.2724933e-9
0.0025,1.5,8.809825e-09
0.0061833333,1.5,9.6682418e-09
0.011659222,1.5,1.110748e-08
0.019800044,1.5,1.3667602e-08
0.031902732,1.5,1.8643447e-08
0.049895394,1.5,2.9686995e-08
0.076404584,1.5,5.915782e-08
0.11546146,1.5,1.6251471e-07
0.16546146,1.5,5.6310645e-07
0.21546146,1.5,1.717834e-06
0.26546146,1.5,4.2871126e-06
0.31546146,1.5,8.5219941e-06
0.36546146,1.5,1.4156491e-05
0.41546146,1.5,2.0960622e-05
0.46546146,1.5,2.8732323e-05
0.5,1.5,3.4558655e-05
