vg,vd,ids
0,0.5,7.72324e-9
0.0025,0.5,8.1148764e-09
0.0061833333,0.5,8.7332711e-09
0.011659222,0.5,9.7531397e-09
0.019800044,0.5,1.1526657e-08
0.031902732,0.5,1.4869652e-08
0.049895394,0.5,2.2005532e-08
0.076404584,0.5,4.0259434e-08
0.11546146,0.5,1.025892e-07
0.16546146,0.5,3.4627763e-07
0.21546146,0.5,1.0751877e-06
0.26546146,0.5,2.8074106e-06
0.31546146,0.5,5.9604017e-06
0.36546146,0.5,1.0577925e-05
0.41546146,0.5,1.6403158e-05
0.46546146,0.5,2.3182869e-05
0.5,0.5,2.830777e-05
