vg,vd,ids
0,1.5,8.6888539e-9
0.0025,1.5,9.1975853e-09
0.0061833333,1.5,1.0005423e-08
0.011659222,1.5,1.1348182e-08
0.019800044,1.5,1.3707606e-08
0.031902732,1.5,1.8213721e-08
0.049895394,1.5,2.7980015e-08
0.076404584,1.5,5.3281955e-08
0.11546146,1.5,1.3928339e-07
0.16546146,1.5,4.6645749e-07
0.21546146,1.5,1.4182495e-06
0.26546146,1.5,3.6094889e-06
0.31546146,1.5,7.4021727e-06
0.36546146,1.5,1.2627934e-05
0.41546146,1.5,1.9009434e-05
0.46546146,1.5,2.6333705e-05
0.5,1.5,3.1836109e-05
