vg,vd,ids
0,2.5,3.0751222e-6
0.0025,2.5,3.1300014e-06
0.0061833333,2.5,3.2122694e-06
0.011659222,2.5,3.337756e-06
0.019800044,2.5,3.5315563e-06
0.031902732,2.5,3.8365056e-06
0.049895394,2.5,4.3302011e-06
0.076404584,2.5,5.1582392e-06
0.11546146,2.5,6.6525356e-06
0.16546146,2.5,9.2310586e-06
0.21546146,2.5,1.2852524e-05
0.26546146,2.5,1.7733033e-05
0.31546146,2.5,2.3865595e-05
0.36546146,2.5,3.1059098e-05
0.41546146,2.5,3.9079847e-05
0.46546146,2.5,4.7724242e-05
0.5,2.5,5.3982171e-05
