vg,vd,ids
0,4.5,2.0987912e-6
0.0025,4.5,2.1408119e-06
0.0061833333,4.5,2.204048e-06
0.011659222,4.5,2.3010511e-06
0.019800044,4.5,2.4521255e-06
0.031902732,4.5,2.6927781e-06
0.049895394,4.5,3.0892975e-06
0.076644486,4.5,3.7773947e-06
0.11605482,4.5,5.0615246e-06
0.16605482,4.5,7.3405993e-06
0.21605482,4.5,1.0652587e-05
0.26605482,4.5,1.5257206e-05
0.31605482,4.5,2.1173008e-05
0.36605482,4.5,2.8183721e-05
0.41605482,4.5,3.6026819e-05
0.46605482,4.5,4.4495085e-05
0.5,4.5,5.0534294e-05
