vg,vd,ids
0,3.5,1.1315159e-6
0.0025,3.5,1.1573688e-06
0.0061833333,3.5,1.196446e-06
0.011659222,3.5,1.2567921e-06
0.019800044,3.5,1.3517818e-06
0.031902732,3.5,1.5055721e-06
0.049895394,3.5,1.7654802e-06
0.076644486,3.5,2.2350835e-06
0.11605482,3.5,3.170338e-06
0.16605482,3.5,4.9829359e-06
0.21605482,3.5,7.8497908e-06
0.26605482,3.5,1.2074151e-05
0.31605482,3.5,1.7690698e-05
0.36605482,3.5,2.4489832e-05
0.41605482,3.5,3.2186165e-05
0.46605482,3.5,4.0572847e-05
0.5,3.5,4.658694e-05
