vg,vd,ids
0,2.5,1.5828477e-7
0.0025,2.5,1.6343137e-07
0.0061833333,2.5,1.713352e-07
0.011659222,2.5,1.8383577e-07
0.019800044,2.5,2.0422856e-07
0.031902732,2.5,2.3910613e-07
0.049895394,2.5,3.0328264e-07
0.076644486,2.5,4.3581532e-07
0.11605482,2.5,7.6068102e-07
0.16605482,2.5,1.5915892e-06
0.21605482,2.5,3.3013605e-06
0.26605482,2.5,6.3594816e-06
0.31605482,2.5,1.0950607e-05
0.36605482,2.5,1.6898127e-05
0.41605482,2.5,2.3901598e-05
0.46605482,2.5,3.1718582e-05
0.5,2.5,3.740951e-05
