vg,vd,ids
0,1.5,2.0307997e-8
0.0025,1.5,2.1322244e-08
0.0061833333,1.5,2.291736e-08
0.011659222,1.5,2.5531337e-08
0.019800044,1.5,3.0028539e-08
0.031902732,1.5,3.8364346e-08
0.049895394,1.5,5.5665675e-08
0.076404584,1.5,9.7890491e-08
0.11546146,1.5,2.3040381e-07
0.16546146,1.5,6.8878441e-07
0.21546146,1.5,1.9008568e-06
0.26546146,1.5,4.4691995e-06
0.31546146,1.5,8.6793721e-06
0.36546146,1.5,1.432266e-05
0.41546146,1.5,2.1120237e-05
0.46546146,1.5,2.8874433e-05
0.5,1.5,3.4686998e-05
