lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,3e+19,0.0,3.5,4.033599734775019
12.0,50.0,5.0,3e+19,0.0025,3.5,4.032486478552748
12.0,50.0,5.0,3e+19,0.0061833333,3.5,4.0308493119209
12.0,50.0,5.0,3e+19,0.011659222,3.5,4.0284216842051155
12.0,50.0,5.0,3e+19,0.019800044,3.5,4.0248254803187224
12.0,50.0,5.0,3e+19,0.031902732,3.5,4.019503795191485
12.0,50.0,5.0,3e+19,0.049895394,3.5,4.01163348623392
12.0,50.0,5.0,3e+19,0.076644486,3.5,3.9999746379428216
12.0,50.0,5.0,3e+19,0.11605482,3.5,3.9827234821276054
12.0,50.0,5.0,3e+19,0.16605482,3.5,3.96035978926179
12.0,50.0,5.0,3e+19,0.21605482,3.5,3.937152068346169
12.0,50.0,5.0,3e+19,0.26605482,3.5,3.9130674919398056
12.0,50.0,5.0,3e+19,0.31605482,3.5,3.8883325577515073
12.0,50.0,5.0,3e+19,0.36605482,3.5,3.8633255909727438
12.0,50.0,5.0,3e+19,0.41605482,3.5,3.83847567988707
12.0,50.0,5.0,3e+19,0.46605482,3.5,3.8141485382045524
12.0,50.0,5.0,3e+19,0.5,3.5,3.798066566475975
