lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,3e+19,0.0,1.5,4.602443799246747
12.0,50.0,5.0,3e+19,0.0025,1.5,4.599643657937089
12.0,50.0,5.0,3e+19,0.00615,1.5,4.595573411500176
12.0,50.0,5.0,3e+19,0.011576333,1.5,4.589560028121628
12.0,50.0,5.0,3e+19,0.019643482,1.5,4.580700366413648
12.0,50.0,5.0,3e+19,0.031636644,1.5,4.567689364795737
12.0,50.0,5.0,3e+19,0.049306568,1.5,4.548820174014948
12.0,50.0,5.0,3e+19,0.075340257,1.5,4.521501092234995
12.0,50.0,5.0,3e+19,0.11369656,1.5,4.481677415572193
12.0,50.0,5.0,3e+19,0.16369656,1.5,4.429161011902471
12.0,50.0,5.0,3e+19,0.21369656,1.5,4.374980055319636
12.0,50.0,5.0,3e+19,0.26369656,1.5,4.319541976609081
12.0,50.0,5.0,3e+19,0.31369656,1.5,4.264305605932181
12.0,50.0,5.0,3e+19,0.36369656,1.5,4.210885368025755
12.0,50.0,5.0,3e+19,0.41369656,1.5,4.160347892617428
12.0,50.0,5.0,3e+19,0.46369656,1.5,4.113153226020029
12.0,50.0,5.0,3e+19,0.5,1.5,4.081062437704063
