lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
15.6,65.0,6.5,1000000000000000.0,0.0,5.0,5.710587342586547
15.6,65.0,6.5,1000000000000000.0,0.0025,5.0,5.700003855907731
15.6,65.0,6.5,1000000000000000.0,0.0061833333,5.0,5.6844803167025795
15.6,65.0,6.5,1000000000000000.0,0.011659222,5.0,5.661555618997562
15.6,65.0,6.5,1000000000000000.0,0.019800044,5.0,5.627830225551918
15.6,65.0,6.5,1000000000000000.0,0.031902732,5.0,5.578497288698497
15.6,65.0,6.5,1000000000000000.0,0.049895394,5.0,5.506988365404816
15.6,65.0,6.5,1000000000000000.0,0.076644486,5.0,5.404884625170723
15.6,65.0,6.5,1000000000000000.0,0.11605482,5.0,5.263986219984198
15.6,65.0,6.5,1000000000000000.0,0.16605482,5.0,5.101874679515668
15.6,65.0,6.5,1000000000000000.0,0.21605482,5.0,4.957990226187912
15.6,65.0,6.5,1000000000000000.0,0.26605482,5.0,4.830912377293768
15.6,65.0,6.5,1000000000000000.0,0.31605482,5.0,4.718884306507665
15.6,65.0,6.5,1000000000000000.0,0.36605482,5.0,4.62010782857376
15.6,65.0,6.5,1000000000000000.0,0.41605482,5.0,4.532496344810694
15.6,65.0,6.5,1000000000000000.0,0.46605482,5.0,4.454364638914178
15.6,65.0,6.5,1000000000000000.0,0.5,5.0,4.405986235565138
