lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,2000000000000000.0,0.0,2.0,7.564699367707575
12.0,50.0,5.0,2000000000000000.0,0.0025,2.0,7.5464024402694605
12.0,50.0,5.0,2000000000000000.0,0.0061833333,2.0,7.519309767983816
12.0,50.0,5.0,2000000000000000.0,0.011659222,2.0,7.478727423564075
12.0,50.0,5.0,2000000000000000.0,0.019800044,2.0,7.417688739346062
12.0,50.0,5.0,2000000000000000.0,0.031902732,2.0,7.3253149816411645
12.0,50.0,5.0,2000000000000000.0,0.049895394,2.0,7.1843380903729335
12.0,50.0,5.0,2000000000000000.0,0.076644486,2.0,6.966697501982225
12.0,50.0,5.0,2000000000000000.0,0.11605482,2.0,6.630740622524317
12.0,50.0,5.0,2000000000000000.0,0.16605482,2.0,6.192640720869787
12.0,50.0,5.0,2000000000000000.0,0.21605482,2.0,5.772696206363055
12.0,50.0,5.0,2000000000000000.0,0.26605482,2.0,5.407822820527859
12.0,50.0,5.0,2000000000000000.0,0.31605482,2.0,5.116270093642438
12.0,50.0,5.0,2000000000000000.0,0.36605482,2.0,4.891695258878252
12.0,50.0,5.0,2000000000000000.0,0.41605482,2.0,4.717962346261129
12.0,50.0,5.0,2000000000000000.0,0.46605482,2.0,4.579290109459976
12.0,50.0,5.0,2000000000000000.0,0.5,2.0,4.499635136287863
