lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,5000000000000000.0,0.0,4.5,5.62000355192172
12.0,50.0,5.0,5000000000000000.0,0.0025,4.5,5.6117095910327555
12.0,50.0,5.0,5000000000000000.0,0.0061833333,4.5,5.59953247045808
12.0,50.0,5.0,5000000000000000.0,0.011659222,4.5,5.581521115237993
12.0,50.0,5.0,5000000000000000.0,0.019800044,4.5,5.554940469452516
12.0,50.0,5.0,5000000000000000.0,0.031902732,4.5,5.515830269136883
12.0,50.0,5.0,5000000000000000.0,0.049895394,4.5,5.45848852625565
12.0,50.0,5.0,5000000000000000.0,0.076644486,4.5,5.374639707241166
12.0,50.0,5.0,5000000000000000.0,0.11605482,4.5,5.252751584385551
12.0,50.0,5.0,5000000000000000.0,0.16605482,4.5,5.098005136096401
12.0,50.0,5.0,5000000000000000.0,0.21605482,4.5,4.942843787771454
12.0,50.0,5.0,5000000000000000.0,0.26605482,4.5,4.792720779192988
12.0,50.0,5.0,5000000000000000.0,0.31605482,4.5,4.655135486483011
12.0,50.0,5.0,5000000000000000.0,0.36605482,4.5,4.5344281971965765
12.0,50.0,5.0,5000000000000000.0,0.41605482,4.5,4.430361941755135
12.0,50.0,5.0,5000000000000000.0,0.46605482,4.5,4.340532733157701
12.0,50.0,5.0,5000000000000000.0,0.5,4.5,4.286229372698462
