lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,3e+17,0.0,3.0,6.086216766456585
12.0,50.0,5.0,3e+17,0.0025,3.0,6.075736359161613
12.0,50.0,5.0,3e+17,0.0061833333,3.0,6.060316420476145
12.0,50.0,5.0,3e+17,0.011659222,3.0,6.037440090180863
12.0,50.0,5.0,3e+17,0.019800044,3.0,6.003525463362853
12.0,50.0,5.0,3e+17,0.031902732,3.0,5.953268164798639
12.0,50.0,5.0,3e+17,0.049895394,3.0,5.878761021962709
12.0,50.0,5.0,3e+17,0.076644486,3.0,5.767877089227071
12.0,50.0,5.0,3e+17,0.11605482,3.0,5.602396074174273
12.0,50.0,5.0,3e+17,0.16605482,3.0,5.386731804369196
12.0,50.0,5.0,3e+17,0.21605482,3.0,5.170153338223077
12.0,50.0,5.0,3e+17,0.26605482,3.0,4.966924744774856
12.0,50.0,5.0,3e+17,0.31605482,3.0,4.788938597330563
12.0,50.0,5.0,3e+17,0.36605482,3.0,4.639294203141654
12.0,50.0,5.0,3e+17,0.41605482,3.0,4.514744256211337
12.0,50.0,5.0,3e+17,0.46605482,3.0,4.409955969428832
12.0,50.0,5.0,3e+17,0.5,3.0,4.347714158372956
