lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,1e+18,0.0,4.5,5.015125250568099
12.0,50.0,5.0,1e+18,0.0025,4.5,5.0102400839962185
12.0,50.0,5.0,1e+18,0.0061833333,4.5,5.003073757038153
12.0,50.0,5.0,1e+18,0.011659222,4.5,4.992486368979827
12.0,50.0,5.0,1e+18,0.019800044,4.5,4.976886495662591
12.0,50.0,5.0,1e+18,0.031902732,4.5,4.953980947509786
12.0,50.0,5.0,1e+18,0.049895394,4.5,4.920476881642437
12.0,50.0,5.0,1e+18,0.076644486,4.5,4.871579404844665
12.0,50.0,5.0,1e+18,0.11605482,4.5,4.800497851043427
12.0,50.0,5.0,1e+18,0.16605482,4.5,4.709730932914604
12.0,50.0,5.0,1e+18,0.21605482,4.5,4.617111549077045
12.0,50.0,5.0,1e+18,0.26605482,4.5,4.524334578098779
12.0,50.0,5.0,1e+18,0.31605482,4.5,4.434825209920814
12.0,50.0,5.0,1e+18,0.36605482,4.5,4.351505407862424
12.0,50.0,5.0,1e+18,0.41605482,4.5,4.275684013275094
12.0,50.0,5.0,1e+18,0.46605482,4.5,4.20733983140139
12.0,50.0,5.0,1e+18,0.5,4.5,4.1648431015935445
