lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,5000000000000000.0,0.0,1.5,7.982669103903558
12.0,50.0,5.0,5000000000000000.0,0.0025,1.5,7.960819352063742
12.0,50.0,5.0,5000000000000000.0,0.0061833333,1.5,7.9284656041618815
12.0,50.0,5.0,5000000000000000.0,0.011659222,1.5,7.879995795813103
12.0,50.0,5.0,5000000000000000.0,0.019800044,1.5,7.807140987097283
12.0,50.0,5.0,5000000000000000.0,0.031902732,1.5,7.697052728440452
12.0,50.0,5.0,5000000000000000.0,0.049895394,1.5,7.529616634898916
12.0,50.0,5.0,5000000000000000.0,0.076404584,1.5,7.275534786509272
12.0,50.0,5.0,5000000000000000.0,0.11546146,1.5,6.889442576824008
12.0,50.0,5.0,5000000000000000.0,0.16546146,1.5,6.391214547616665
12.0,50.0,5.0,5000000000000000.0,0.21546146,1.5,5.920314758231392
12.0,50.0,5.0,5000000000000000.0,0.26546146,1.5,5.514181180419159
12.0,50.0,5.0,5000000000000000.0,0.31546146,1.5,5.193034738052198
12.0,50.0,5.0,5000000000000000.0,0.36546146,1.5,4.949063983880259
12.0,50.0,5.0,5000000000000000.0,0.41546146,1.5,4.762889817630458
12.0,50.0,5.0,5000000000000000.0,0.46546146,1.5,4.615794070279089
12.0,50.0,5.0,5000000000000000.0,0.5,1.5,4.530523937959069
