lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,3e+17,0.0,3.5,5.7385725350473065
12.0,50.0,5.0,3e+17,0.0025,3.5,5.729840461928725
12.0,50.0,5.0,3e+17,0.0061833333,3.5,5.717013794260878
12.0,50.0,5.0,3e+17,0.011659222,3.5,5.69802808633347
12.0,50.0,5.0,3e+17,0.019800044,3.5,5.66995297470949
12.0,50.0,5.0,3e+17,0.031902732,3.5,5.6285402483201
12.0,50.0,5.0,3e+17,0.049895394,3.5,5.567585213111813
12.0,50.0,5.0,3e+17,0.076644486,3.5,5.477796586286715
12.0,50.0,5.0,3e+17,0.11605482,3.5,5.345685228107734
12.0,50.0,5.0,3e+17,0.16605482,3.5,5.175551677320209
12.0,50.0,5.0,3e+17,0.21605482,3.5,5.004036453780141
12.0,50.0,5.0,3e+17,0.26605482,3.5,4.839559952569904
12.0,50.0,5.0,3e+17,0.31605482,3.5,4.690973666020459
12.0,50.0,5.0,3e+17,0.36605482,3.5,4.562147532584423
12.0,50.0,5.0,3e+17,0.41605482,3.5,4.4521230813481045
12.0,50.0,5.0,3e+17,0.46605482,3.5,4.357876797173376
12.0,50.0,5.0,3e+17,0.5,3.5,4.301175604267026
