lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,5e+18,0.0,5.0,4.501665429700263
12.0,50.0,5.0,5e+18,0.0025,5.0,4.499141929853174
12.0,50.0,5.0,5e+18,0.0061833333,5.0,4.4954362532766226
12.0,50.0,5.0,5e+18,0.011659222,5.0,4.489953266532595
12.0,50.0,5.0,5e+18,0.019800044,5.0,4.481856447484963
12.0,50.0,5.0,5e+18,0.031902732,5.0,4.469928379903317
12.0,50.0,5.0,5e+18,0.049895394,5.0,4.45239647481784
12.0,50.0,5.0,5e+18,0.076644486,5.0,4.426646041508977
12.0,50.0,5.0,5e+18,0.11605482,5.0,4.388903143514345
12.0,50.0,5.0,5e+18,0.16605482,5.0,4.340265139099525
12.0,50.0,5.0,5e+18,0.21605482,5.0,4.2899570808665555
12.0,50.0,5.0,5e+18,0.26605482,5.0,4.238201402200492
12.0,50.0,5.0,5e+18,0.31605482,5.0,4.186117184940794
12.0,50.0,5.0,5e+18,0.36605482,5.0,4.135109818401752
12.0,50.0,5.0,5e+18,0.41605482,5.0,4.086281146682968
12.0,50.0,5.0,5e+18,0.46605482,5.0,4.0402151500013535
12.0,50.0,5.0,5e+18,0.5,5.0,4.010614913053923
