lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,1e+19,0.0,0.5,7.6133767566169475
12.0,50.0,5.0,1e+19,0.0025,0.5,7.595414209756086
12.0,50.0,5.0,1e+19,0.0061833333,0.5,7.5688067862063475
12.0,50.0,5.0,1e+19,0.011659222,0.5,7.52893137698651
12.0,50.0,5.0,1e+19,0.019800044,0.5,7.4688238278413825
12.0,50.0,5.0,1e+19,0.031902732,0.5,7.377604927452688
12.0,50.0,5.0,1e+19,0.049895394,0.5,7.237514691553658
12.0,50.0,5.0,1e+19,0.076404584,0.5,7.020781518462077
12.0,50.0,5.0,1e+19,0.11546146,0.5,6.680610335908201
12.0,50.0,5.0,1e+19,0.16546146,0.5,6.227609486528007
12.0,50.0,5.0,1e+19,0.21546146,0.5,5.797559992032957
12.0,50.0,5.0,1e+19,0.26546146,0.5,5.430648824130467
12.0,50.0,5.0,1e+19,0.31546146,0.5,5.139901196809275
12.0,50.0,5.0,1e+19,0.36546146,0.5,4.914680089148033
12.0,50.0,5.0,1e+19,0.41546146,0.5,4.739423692304677
12.0,50.0,5.0,1e+19,0.46546146,0.5,4.599681579083154
12.0,50.0,5.0,1e+19,0.5,0.5,4.518419823696367
