lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,1e+18,0.0,3.0,5.795871114398451
12.0,50.0,5.0,1e+18,0.0025,3.0,5.786835320481928
12.0,50.0,5.0,1e+18,0.0061833333,3.0,5.773561058430893
12.0,50.0,5.0,1e+18,0.011659222,3.0,5.753907787856138
12.0,50.0,5.0,1e+18,0.019800044,3.0,5.724858687176588
12.0,50.0,5.0,1e+18,0.031902732,3.0,5.6819995170076725
12.0,50.0,5.0,1e+18,0.049895394,3.0,5.618867981232763
12.0,50.0,5.0,1e+18,0.076644486,3.0,5.525805553211321
12.0,50.0,5.0,1e+18,0.11605482,3.0,5.388496368881394
12.0,50.0,5.0,1e+18,0.16605482,3.0,5.211129071832215
12.0,50.0,5.0,1e+18,0.21605482,3.0,5.03224503445313
12.0,50.0,5.0,1e+18,0.26605482,3.0,4.861325294523748
12.0,50.0,5.0,1e+18,0.31605482,3.0,4.70782439136538
12.0,50.0,5.0,1e+18,0.36605482,3.0,4.5753355649147975
12.0,50.0,5.0,1e+18,0.41605482,3.0,4.462640568719076
12.0,50.0,5.0,1e+18,0.46605482,3.0,4.366418077086299
12.0,50.0,5.0,1e+18,0.5,3.0,4.308691548816735
