lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,1e+17,0.0,2.0,7.179625015079221
12.0,50.0,5.0,1e+17,0.0025,2.0,7.162368128175838
12.0,50.0,5.0,1e+17,0.00615,2.0,7.1370836571856815
12.0,50.0,5.0,1e+17,0.011576333,2.0,7.099285541907426
12.0,50.0,5.0,1e+17,0.019643482,2.0,7.042617728102302
12.0,50.0,5.0,1e+17,0.031636644,2.0,6.957246553837647
12.0,50.0,5.0,1e+17,0.049466477,2.0,6.827678751057852
12.0,50.0,5.0,1e+17,0.075973495,2.0,6.628990022875816
12.0,50.0,5.0,1e+17,0.11502717,2.0,6.324414898218841
12.0,50.0,5.0,1e+17,0.16502717,2.0,5.9265489421080675
12.0,50.0,5.0,1e+17,0.21502717,2.0,5.550227999756677
12.0,50.0,5.0,1e+17,0.26502717,2.0,5.227875355083703
12.0,50.0,5.0,1e+17,0.31502717,2.0,4.972153745552469
12.0,50.0,5.0,1e+17,0.36502717,2.0,4.774976205604073
12.0,50.0,5.0,1e+17,0.41502717,2.0,4.619700677823507
12.0,50.0,5.0,1e+17,0.46502717,2.0,4.49326808432612
12.0,50.0,5.0,1e+17,0.5,2.0,4.417600757229971
