lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,8e+17,0.0,4.5,5.057614518035485
12.0,50.0,5.0,8e+17,0.0025,4.5,5.052500673230436
12.0,50.0,5.0,8e+17,0.0061833333,4.5,5.044998963174728
12.0,50.0,5.0,8e+17,0.011659222,4.5,5.033916414968238
12.0,50.0,5.0,8e+17,0.019800044,4.5,5.017587594438283
12.0,50.0,5.0,8e+17,0.031902732,4.5,4.993613721224276
12.0,50.0,5.0,8e+17,0.049895394,4.5,4.958552794565953
12.0,50.0,5.0,8e+17,0.076644486,4.5,4.9073984342785675
12.0,50.0,5.0,8e+17,0.11605482,4.5,4.833067851369641
12.0,50.0,5.0,8e+17,0.16605482,4.5,4.73822035469286
12.0,50.0,5.0,8e+17,0.21605482,4.5,4.641577264913808
12.0,50.0,5.0,8e+17,0.26605482,4.5,4.545007763929053
12.0,50.0,5.0,8e+17,0.31605482,4.5,4.4521887440566354
12.0,50.0,5.0,8e+17,0.36605482,4.5,4.366175730340863
12.0,50.0,5.0,8e+17,0.41605482,4.5,4.288217041530548
12.0,50.0,5.0,8e+17,0.46605482,4.5,4.218193489285614
12.0,50.0,5.0,8e+17,0.5,4.5,4.174757830939048
