lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
15.6,65.0,6.5,1000000000000000.0,0.0,0.5,10.204477585470363
15.6,65.0,6.5,1000000000000000.0,0.0025,0.5,10.183281159155793
15.6,65.0,6.5,1000000000000000.0,0.0061833333,0.5,10.152009749162515
15.6,65.0,6.5,1000000000000000.0,0.011659222,0.5,10.105416142185423
15.6,65.0,6.5,1000000000000000.0,0.019800044,0.5,10.035932803470885
15.6,65.0,6.5,1000000000000000.0,0.031902732,0.5,9.93217586685144
15.6,65.0,6.5,1000000000000000.0,0.049895394,0.5,9.776938596796633
15.6,65.0,6.5,1000000000000000.0,0.076644486,0.5,9.543992073347319
15.6,65.0,6.5,1000000000000000.0,0.11605482,0.5,9.196098901865376
15.6,65.0,6.5,1000000000000000.0,0.16605482,0.5,8.747760242286923
15.6,65.0,6.5,1000000000000000.0,0.21605482,0.5,8.294328591084552
15.6,65.0,6.5,1000000000000000.0,0.26605482,0.5,7.839982054216276
15.6,65.0,6.5,1000000000000000.0,0.31605482,0.5,7.391120865997972
15.6,65.0,6.5,1000000000000000.0,0.36605482,0.5,6.957501391659739
15.6,65.0,6.5,1000000000000000.0,0.41605482,0.5,6.551514747420781
15.6,65.0,6.5,1000000000000000.0,0.46605482,0.5,6.185695836433345
15.6,65.0,6.5,1000000000000000.0,0.5,0.5,5.964487333496972
