lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,1500000000000000.0,0.0,0.5,9.055978077312313
12.0,50.0,5.0,1500000000000000.0,0.0025,0.5,9.02460254577278
12.0,50.0,5.0,1500000000000000.0,0.0061833333,0.5,8.978238595069616
12.0,50.0,5.0,1500000000000000.0,0.011659222,0.5,8.90897708435377
12.0,50.0,5.0,1500000000000000.0,0.019800044,0.5,8.805110550874321
12.0,50.0,5.0,1500000000000000.0,0.031794187,0.5,8.649607777187622
12.0,50.0,5.0,1500000000000000.0,0.049465559,0.5,8.416795080184285
12.0,50.0,5.0,1500000000000000.0,0.075265762,0.5,8.077832338044244
12.0,50.0,5.0,1500000000000000.0,0.11327806,0.5,7.585004820928361
12.0,50.0,5.0,1500000000000000.0,0.16327806,0.5,6.953083856062613
12.0,50.0,5.0,1500000000000000.0,0.21327806,0.5,6.363738818394322
12.0,50.0,5.0,1500000000000000.0,0.26327806,0.5,5.847448681248514
12.0,50.0,5.0,1500000000000000.0,0.31327806,0.5,5.433317003420317
12.0,50.0,5.0,1500000000000000.0,0.36327806,0.5,5.124635114577617
12.0,50.0,5.0,1500000000000000.0,0.41327806,0.5,4.898725684676513
12.0,50.0,5.0,1500000000000000.0,0.46327806,0.5,4.727118169551371
12.0,50.0,5.0,1500000000000000.0,0.5,0.5,4.624920946493753
