lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,800000000000000.0,0.0,3.0,6.738542230268262
12.0,50.0,5.0,800000000000000.0,0.0025,3.0,6.725108904805464
12.0,50.0,5.0,800000000000000.0,0.0061833333,3.0,6.7052833441166735
12.0,50.0,5.0,800000000000000.0,0.011659222,3.0,6.67573141764809
12.0,50.0,5.0,800000000000000.0,0.019800044,3.0,6.631613601456152
12.0,50.0,5.0,800000000000000.0,0.031902732,3.0,6.56554426677578
12.0,50.0,5.0,800000000000000.0,0.049895394,3.0,6.465974630467295
12.0,50.0,5.0,800000000000000.0,0.076644486,3.0,6.314459784968011
12.0,50.0,5.0,800000000000000.0,0.11605482,3.0,6.082078953429611
12.0,50.0,5.0,800000000000000.0,0.16605482,3.0,5.773918516119921
12.0,50.0,5.0,800000000000000.0,0.21605482,3.0,5.467420660396497
12.0,50.0,5.0,800000000000000.0,0.26605482,3.0,5.189453048332384
12.0,50.0,5.0,800000000000000.0,0.31605482,3.0,4.9577337617779955
12.0,50.0,5.0,800000000000000.0,0.36605482,3.0,4.771732696446507
12.0,50.0,5.0,800000000000000.0,0.41605482,3.0,4.622940149773156
12.0,50.0,5.0,800000000000000.0,0.46605482,3.0,4.501349230501002
12.0,50.0,5.0,800000000000000.0,0.5,3.0,4.430417234432077
