lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
10.8,45.0,4.5,1000000000000000.0,0.0,2.0,7.605393401743868
10.8,45.0,4.5,1000000000000000.0,0.0025,2.0,7.586824656471695
10.8,45.0,4.5,1000000000000000.0,0.0061833333,2.0,7.559326570878279
10.8,45.0,4.5,1000000000000000.0,0.011659222,2.0,7.5181240099605855
10.8,45.0,4.5,1000000000000000.0,0.019800044,2.0,7.456123596243012
10.8,45.0,4.5,1000000000000000.0,0.031902732,2.0,7.362301379055912
10.8,45.0,4.5,1000000000000000.0,0.049895394,2.0,7.219088183535211
10.8,45.0,4.5,1000000000000000.0,0.076644486,2.0,6.998014996834364
10.8,45.0,4.5,1000000000000000.0,0.11605482,2.0,6.657032365022641
10.8,45.0,4.5,1000000000000000.0,0.16605482,2.0,6.213175456483708
10.8,45.0,4.5,1000000000000000.0,0.21605482,2.0,5.78830708019489
10.8,45.0,4.5,1000000000000000.0,0.26605482,2.0,5.419443145129199
10.8,45.0,4.5,1000000000000000.0,0.31605482,2.0,5.125029444139911
10.8,45.0,4.5,1000000000000000.0,0.36605482,2.0,4.898586952716509
10.8,45.0,4.5,1000000000000000.0,0.41605482,2.0,4.7236962710172365
10.8,45.0,4.5,1000000000000000.0,0.46605482,2.0,4.584259897530138
10.8,45.0,4.5,1000000000000000.0,0.5,2.0,4.504240136600797
