lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,5e+18,0.0,4.5,4.619041437968583
12.0,50.0,5.0,5e+18,0.0025,4.5,4.6160513691326575
12.0,50.0,5.0,5e+18,0.0061833333,4.5,4.611662541822734
12.0,50.0,5.0,5e+18,0.011659222,4.5,4.605172729344609
12.0,50.0,5.0,5e+18,0.019800044,4.5,4.595597543254833
12.0,50.0,5.0,5e+18,0.031902732,4.5,4.581510974915233
12.0,50.0,5.0,5e+18,0.049895394,4.5,4.5608485474329665
12.0,50.0,5.0,5e+18,0.076644486,4.5,4.530573799251797
12.0,50.0,5.0,5e+18,0.11605482,4.5,4.4863169551964415
12.0,50.0,5.0,5e+18,0.16605482,4.5,4.429427956358265
12.0,50.0,5.0,5e+18,0.21605482,4.5,4.370735832338539
12.0,50.0,5.0,5e+18,0.26605482,4.5,4.310650990475683
12.0,50.0,5.0,5e+18,0.31605482,4.5,4.250703123679663
12.0,50.0,5.0,5e+18,0.36605482,4.5,4.192645045291632
12.0,50.0,5.0,5e+18,0.41605482,4.5,4.137707293551064
12.0,50.0,5.0,5e+18,0.46605482,4.5,4.086398929882324
12.0,50.0,5.0,5e+18,0.5,4.5,4.053732162608064
