lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,1000000000000000.0,0.0,1.5,8.061037505223565
12.0,50.0,5.0,1000000000000000.0,0.0025,1.5,8.036326175755871
12.0,50.0,5.0,1000000000000000.0,0.0061833333,1.5,7.999764545940064
12.0,50.0,5.0,1000000000000000.0,0.011659222,1.5,7.945073707687441
12.0,50.0,5.0,1000000000000000.0,0.019800044,1.5,7.863038387061327
12.0,50.0,5.0,1000000000000000.0,0.031902732,1.5,7.739601320285073
12.0,50.0,5.0,1000000000000000.0,0.049895394,1.5,7.553152057020193
12.0,50.0,5.0,1000000000000000.0,0.076404584,1.5,7.273419848587464
12.0,50.0,5.0,1000000000000000.0,0.11546146,1.5,6.856100671526158
12.0,50.0,5.0,1000000000000000.0,0.16546146,1.5,6.331187928979966
12.0,50.0,5.0,1000000000000000.0,0.21546146,1.5,5.848247360872571
12.0,50.0,5.0,1000000000000000.0,0.26546146,1.5,5.442554289402978
12.0,50.0,5.0,1000000000000000.0,0.31546146,1.5,5.130640786603502
12.0,50.0,5.0,1000000000000000.0,0.36546146,1.5,4.898667696617538
12.0,50.0,5.0,1000000000000000.0,0.41546146,1.5,4.721030813925519
12.0,50.0,5.0,1000000000000000.0,0.46546146,1.5,4.579488033873144
12.0,50.0,5.0,1000000000000000.0,0.5,1.5,4.497080017036465
