lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,5e+16,0.0,4.0,5.693147129752564
12.0,50.0,5.0,5e+16,0.0025,4.0,5.684579227288109
12.0,50.0,5.0,5e+16,0.0061833333,4.0,5.67199427498658
12.0,50.0,5.0,5e+16,0.011659222,4.0,5.653367113209631
12.0,50.0,5.0,5e+16,0.019800044,4.0,5.625848403253775
12.0,50.0,5.0,5e+16,0.031902732,4.0,5.585291936631697
12.0,50.0,5.0,5e+16,0.049895394,4.0,5.525661523999314
12.0,50.0,5.0,5e+16,0.076644486,4.0,5.438067201854718
12.0,50.0,5.0,5e+16,0.11605482,4.0,5.30985619799241
12.0,50.0,5.0,5e+16,0.16605482,4.0,5.145835464066116
12.0,50.0,5.0,5e+16,0.21605482,4.0,4.980773425226242
12.0,50.0,5.0,5e+16,0.26605482,4.0,4.821891272210174
12.0,50.0,5.0,5e+16,0.31605482,4.0,4.677640471472316
12.0,50.0,5.0,5e+16,0.36605482,4.0,4.551959727543777
12.0,50.0,5.0,5e+16,0.41605482,4.0,4.444230500415741
12.0,50.0,5.0,5e+16,0.46605482,4.0,4.351634718960701
12.0,50.0,5.0,5e+16,0.5,4.0,4.295827940628305
