lg_nw,Tsh,t_ox,Gauss_doping,Vg,Vd,Id
12.0,50.0,5.0,1e+19,0.0,1.5,5.940355145320349
12.0,50.0,5.0,1e+19,0.0025,1.5,5.930045415033734
12.0,50.0,5.0,1e+19,0.0061833333,1.5,5.9149063084927604
12.0,50.0,5.0,1e+19,0.011659222,1.5,5.892506440450207
12.0,50.0,5.0,1e+19,0.019800044,1.5,5.859436275305595
12.0,50.0,5.0,1e+19,0.031902732,1.5,5.810757897418866
12.0,50.0,5.0,1e+19,0.049734025,1.5,5.739932430005175
12.0,50.0,5.0,1e+19,0.076005464,1.5,5.6370533760931085
12.0,50.0,5.0,1e+19,0.11471205,1.5,5.486864324123873
12.0,50.0,5.0,1e+19,0.16471205,1.5,5.292241934258881
12.0,50.0,5.0,1e+19,0.21471205,1.5,5.098850884261641
12.0,50.0,5.0,1e+19,0.26471205,1.5,4.916384521269326
12.0,50.0,5.0,1e+19,0.31471205,1.5,4.7543391051404775
12.0,50.0,5.0,1e+19,0.36471205,1.5,4.615550130503442
12.0,50.0,5.0,1e+19,0.41471205,1.5,4.498127314317308
12.0,50.0,5.0,1e+19,0.46471205,1.5,4.39841395217555
12.0,50.0,5.0,1e+19,0.5,1.5,4.336679894516312
