gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1.5,8.0166786e-9
0.0025,1.5,8.4495094e-9
0.0061833333,1.5,9.1337315e-9
0.011659222,1.5,1.0263378e-8
0.019800044,1.5,1.222903e-8
0.031902732,1.5,1.5932166e-8
0.049895394,1.5,2.3806065e-8
0.076404584,1.5,4.3712919e-8
0.11546146,1.5,1.09574e-7
0.16546146,1.5,3.5655811e-7
0.21546146,1.5,1.0848338e-6
0.26546146,1.5,2.8328459e-6
0.31546146,1.5,6.0503632e-6
0.36546146,1.5,1.0746983e-5
0.41546146,1.5,1.6624788e-5
0.46546146,1.5,2.3434918e-5
0.5,1.5,2.8579905e-5

