gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3,5.9492162e-8
0.0025,3,6.1509197e-8
0.0061833333,3,6.4602924e-8
0.011659222,3,6.9486526e-8
0.019800044,3,7.7422655e-8
0.031902732,3,9.0876374e-8
0.049895394,3,1.1517939e-7
0.076644486,3,1.6331175e-7
0.11605482,3,2.7096382e-7
0.16605482,3,5.0575238e-7
0.21605482,3,9.1775418e-7
0.26605482,3,1.6049607e-6
0.31605482,3,2.6843814e-6
0.36605482,3,4.2678071e-6
0.41605482,3,6.4366754e-6
0.46605482,3,9.2296873e-6
0.5,3,1.1481023e-5

