gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,2,2.6170144e-8
0.0025,2,2.7303546e-8
0.0061833333,2,2.9072666e-8
0.011659222,2,3.1939654e-8
0.019800044,2,3.6794383e-8
0.031902732,2,4.5579977e-8
0.049895394,2,6.319878e-8
0.076644486,2,1.0466992e-7
0.11605482,2,2.2800352e-7
0.16605482,2,6.2881991e-7
0.21605482,2,1.6618705e-6
0.26605482,2,3.865364e-6
0.31605482,2,7.5853279e-6
0.36605482,2,1.2745348e-5
0.41605482,2,1.9036279e-5
0.46605482,2,2.621711e-5
0.5,2,3.1506309e-5

