gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,4.5,1.9177221e-6
0.0025,4.5,1.9570611e-6
0.0061833333,4.5,2.016306e-6
0.011659222,4.5,2.1072873e-6
0.019800044,4.5,2.2492171e-6
0.031902732,4.5,2.475852e-6
0.049895394,4.5,2.8506204e-6
0.076644486,4.5,3.5044586e-6
0.11605482,4.5,4.7341569e-6
0.16605482,4.5,6.9386196e-6
0.21605482,4.5,1.0174204e-5
0.26605482,4.5,1.4707612e-5
0.31605482,4.5,2.0561818e-5
0.36605482,4.5,2.7519703e-5
0.41605482,4.5,3.5317902e-5
0.46605482,4.5,4.3744453e-5
0.5,4.5,4.9757694e-5

