gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,2.5,2.0166007e-8
0.0025,2.5,2.0895506e-8
0.0061833333,2.5,2.2018082e-8
0.011659222,2.5,2.379804e-8
0.019800044,2.5,2.6710233e-8
0.031902732,2.5,3.170417e-8
0.049895394,2.5,4.0877272e-8
0.076644486,2.5,5.9531996e-8
0.11605482,2.5,1.0309228e-7
0.16605482,2.5,2.0439831e-7
0.21605482,2.5,3.9678397e-7
0.26605482,2.5,7.4773502e-7
0.31605482,2.5,1.3542961e-6
0.36605482,2.5,2.3339724e-6
0.41605482,2.5,3.8038061e-6
0.46605482,2.5,5.8492475e-6
0.5,2.5,7.5897594e-6

