gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,0.5,9.4652676e-10
0.0025,0.5,1.0167039e-9
0.0061833333,0.5,1.1300067e-9
0.011659222,0.5,1.3230743e-9
0.019800044,0.5,1.6755289e-9
0.031794187,0.5,2.3841743e-9
0.049465559,0.5,4.0542242e-9
0.075265762,0.5,8.8296635e-9
0.11293406,0.5,2.7102341e-8
0.16293406,0.5,1.156186e-7
0.21293406,0.5,4.4688742e-7
0.26293406,0.5,1.4571041e-6
0.31293406,0.5,3.7525264e-6
0.36293406,0.5,7.599261e-6
0.41293406,0.5,1.2748966e-5
0.46293406,0.5,1.8903812e-5
0.5,0.5,2.3961123e-5

