gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1.5,1.6801633e-9
0.0025,1.5,1.7505529e-9
0.0061166667,1.5,1.8576842e-9
0.011493444,1.5,2.0292729e-9
0.019486921,1.5,2.3143733e-9
0.031370556,1.5,2.8147591e-9
0.049037559,1.5,3.7670706e-9
0.075302505,1.5,5.8108796e-9
0.11399952,1.5,1.1012111e-8
0.16399952,1.5,2.5168339e-8
0.21399952,1.5,5.7262989e-8
0.26399952,1.5,1.281807e-7
0.31399952,1.5,2.7892765e-7
0.36399952,1.5,5.8088298e-7
0.41399952,1.5,1.1397466e-6
0.46399952,1.5,2.081913e-6
0.5,1.5,3.0647038e-6

