gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,5,3.1377799e-6
0.0025,5,3.1944058e-6
0.0061833333,5,3.2793536e-6
0.011659222,5,3.4090464e-6
0.019800044,5,3.6095986e-6
0.031902732,5,3.9256562e-6
0.049895394,5,4.4381272e-6
0.076644486,5,5.3058361e-6
0.11605482,5,6.8665016e-6
0.16605482,5,9.5001087e-6
0.21605482,5,1.3146701e-5
0.26605482,5,1.8039441e-5
0.31605482,5,2.4184549e-5
0.36605482,5,3.137126e-5
0.41605482,5,3.9355607e-5
0.46605482,5,4.7922767e-5
0.5,5,5.4010396e-5

