gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1,4.3671008e-9
0.0025,1,4.6919409e-9
0.0061833333,1,5.2152234e-9
0.011659222,1,6.1032376e-9
0.019800044,1,7.7108721e-9
0.031902732,1,1.0915342e-8
0.049734025,1,1.8200686e-8
0.076005464,1,3.8517534e-8
0.11436177,1,1.1321148e-7
0.16436177,1,4.3417809e-7
0.21436177,1,1.453212e-6
0.26436177,1,3.8964767e-6
0.31436177,1,8.0443172e-6
0.36436177,1,1.3652138e-5
0.41436177,1,2.0481992e-5
0.46436177,1,2.8286503e-5
0.5,1,3.4324269e-5

