gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,1,2.2156666e-7
0.0025,1,2.2875122e-7
0.0061833333,1,2.397696e-7
0.011659222,1,2.5715803e-7
0.019800044,1,2.8542419e-7
0.031902732,1,3.3347306e-7
0.049734025,1,4.2002094e-7
0.076005464,1,5.9252077e-7
0.11436177,1,9.8987352e-7
0.16436177,1,1.9607553e-6
0.21436177,1,3.8242548e-6
0.26436177,1,6.9862847e-6
0.31436177,1,1.1588228e-5
0.36436177,1,1.7488437e-5
0.41436177,1,2.4420989e-5
0.46436177,1,3.2137016e-5
0.5,1,3.8010089e-5

