gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,2,1.8949797e-8
0.0025,2,2.0002701e-8
0.0061833333,2,2.1669775e-8
0.011659222,2,2.4428782e-8
0.019800044,2,2.9244827e-8
0.031902732,2,3.8354291e-8
0.049895394,2,5.7804752e-8
0.076404584,2,1.0698421e-7
0.11546146,2,2.6704911e-7
0.16546146,2,8.3047789e-7
0.21546146,2,2.2961652e-6
0.26546146,2,5.2807867e-6
0.31546146,2,9.9311812e-6
0.36546146,2,1.5934201e-5
0.41546146,2,2.3065282e-5
0.46546146,2,3.1144803e-5
0.5,2,3.7177083e-5

