gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,2.5,7.5161545e-8
0.0025,2.5,7.7881178e-8
0.0061833333,2.5,8.2083214e-8
0.011659222,2.5,8.8789702e-8
0.019800044,2.5,9.9882818e-8
0.031902732,2.5,1.1926269e-7
0.049895394,2.5,1.5612946e-7
0.076404584,2.5,2.3539221e-7
0.11546146,2.5,4.445238e-7
0.16546146,2.5,1.0401266e-6
0.21546146,2.5,2.3937637e-6
0.26546146,2.5,5.0138893e-6
0.31546146,2.5,9.1582206e-6
0.36546146,2.5,1.4697333e-5
0.41546146,2.5,2.1317e-5
0.46546146,2.5,2.877824e-5
0.5,2.5,3.4334051e-5

