gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3.5,3.8228063e-7
0.0025,3.5,3.9351428e-7
0.0061833333,3.5,4.1067984e-7
0.011659222,3.5,4.3762263e-7
0.019800044,3.5,4.8106856e-7
0.031902732,3.5,5.5411019e-7
0.049895394,3.5,6.848617e-7
0.076644486,3.5,9.4349663e-7
0.11605482,3.5,1.534847e-6
0.16605482,3.5,2.9022024e-6
0.21605482,3.5,5.4149219e-6
0.26605482,3.5,9.4707129e-6
0.31605482,3.5,1.5074333e-5
0.36605482,3.5,2.1902055e-5
0.41605482,3.5,2.966825e-5
0.46605482,3.5,3.8196424e-5
0.5,3.5,4.434388e-5

