gate OuterVoltage,drain OuterVoltage,drain TotalCurrent
OuterVoltage,OuterVoltage,TotalCurrent
0,3.5,3.3419026e-6
0.0025,3.5,3.3987401e-6
0.0061833333,3.5,3.4839127e-6
0.011659222,3.5,3.6137554e-6
0.019800044,3.5,3.814147e-6
0.031902732,3.5,4.1292265e-6
0.049895394,3.5,4.6389745e-6
0.076644486,3.5,5.5013601e-6
0.11605482,3.5,7.0579641e-6
0.16605482,3.5,9.7155732e-6
0.21605482,3.5,1.3429114e-5
0.26605482,3.5,1.8410307e-5
0.31605482,3.5,2.4650606e-5
0.36605482,3.5,3.1952452e-5
0.41605482,3.5,4.0079273e-5
0.46605482,3.5,4.8824764e-5
0.5,3.5,5.5044058e-5

